visit	n	distance	site
1	1	118.18	3
1	1	107.74	3
1	1	131.13	3
1	1	70.00	3
1	1	57.21	3
2	1	212.00	2
2	1	84.89	2
2	1	155.02	3
2	1	155.56	3
2	1	206.73	3
3	1	62.99	1
3	1	187.94	1
3	1	51.30	3
3	1	256.05	3
4	1	236.00	1
4	1	55.00	2
4	1	366.00	2
4	1	140.00	2
4	1	127.16	2
4	1	242.97	2
4	1	238.24	2
4	1	347.64	3
4	1	100.00	3
4	1	281.66	3
4	1	49.49	3
4	1	245.90	3
5	1	99.59	1
5	1	277.00	1
5	1	172.91	1
5	1	297.88	1
5	1	135.50	2
5	1	219.00	2
5	1	131.00	2
5	1	237.59	3
5	1	221.76	3
