ID_TRANS	Long_TRANS	TOTAL	DISTANCIA	ANGULO
1	3.489	1	17	90
1	3.489	1	17	90
2	3.039	1	20	90
2	3.039	1	94	70
3	3.562	1	50	150
3	3.562	1	59	0
3	3.562	1	59	0
3	3.562	1	59	0
4	2.7	1	155.4	90
4	2.7	1	178.4	90
4	2.7	1	202	90
4	2.7	1	20	66
4	2.7	1	20	66
4	2.7	1	147	90
4	2.7	1	147	90
4	2.7	1	147	90
4	2.7	1	53	23
4	2.7	1	53	23
4	2.7	1	53	23
4	2.7	1	53	23
4	2.7	1	10	14
4	2.7	1	10	14
5	2.865	1	87	10
5	2.865	1	87	10
5	2.865	1	87	10
5	2.865	1	87	10
5	2.865	1	87	10
5	2.865	1	66	80
5	2.865	1	66	80
5	2.865	1	42	60
5	2.865	1	42	60
5	2.865	1	42	60
5	2.865	1	35	40
5	2.865	1	35	40
5	2.865	1	35	40
5	2.865	1	35	40
5	2.865	1	50	10
5	2.865	1	50	10
5	2.865	1	85	10
5	2.865	1	85	10
5	2.865	1	85	10
5	2.865	1	120	0
5	2.865	1	120	0
5	2.865	1	97	50
5	2.865	1	97	50
5	2.865	1	97	50
5	2.865	1	97	50
5	2.865	1	97	50
5	2.865	1	65	40
5	2.865	1	65	40
5	2.865	1	65	40
5	2.865	1	65	40
5	2.865	1	110	20
5	2.865	1	110	20
5	2.865	1	75	20
5	2.865	1	75	20
5	2.865	1	75	20
5	2.865	1	75	20
6	3.629	1	12	40
6	3.629	1	58	15
6	3.629	1	94	60
6	3.629	1	48	50
6	3.629	1	48	50
6	3.629	1	48	50
6	3.629	1	38	45
6	3.629	1	38	45
7	3.08	0	0	0
8	3.314	1	47	60
8	3.314	1	47	60
8	3.314	1	47	60
8	3.314	1	47	60
9	3.748	0	0	0
10	3.291	1	75	47
10	3.291	1	75	47
10	3.291	1	42	70
10	3.291	1	107	90
10	3.291	1	107	90
10	3.291	1	107	90
10	3.291	1	53	73
10	3.291	1	45	90
10	3.291	1	45	90
