#Session	individual	day	trap
1	1	15	47
1	1	6	48
1	1	11	48
1	2	8	96
1	3	15	82
1	4	3	71
1	4	4	71
1	4	2	81
1	5	2	14
1	5	1	25
1	5	3	25
1	5	10	26
1	5	15	26
1	6	12	80
1	7	10	100
1	8	7	87
1	9	11	99
1	10	8	82
1	10	15	82
1	10	8	83
1	11	1	100
1	11	2	100
1	12	8	53
1	12	2	54
1	12	10	64
1	12	14	64
1	13	6	77
1	13	8	78
1	13	13	78
1	13	11	87
1	14	1	98
1	14	14	98
1	15	1	5
1	15	9	5
1	16	7	36
1	17	3	53
1	17	11	53
1	17	14	53
1	17	15	53
1	18	4	5
1	19	5	86
1	19	10	86
1	19	15	86
1	20	3	21
1	21	7	36
1	21	5	45
1	21	6	46
1	21	4	55
1	22	4	9
1	22	10	9
1	22	7	18
1	22	4	19
1	22	10	19
1	23	10	64
1	23	1	74
1	23	3	74
1	24	2	45
1	24	5	46
1	24	15	46
1	25	3	82
1	25	9	82
1	25	12	82
1	26	3	10
1	26	6	10
1	26	7	10
1	27	12	78
1	27	15	78
1	28	12	6
1	28	2	7
1	29	11	35
1	29	4	36
1	30	1	47
1	30	5	47
1	30	10	47
1	31	7	35
1	31	15	35
1	32	2	11
1	32	3	11
1	32	7	11
1	33	1	38
1	33	3	38
1	33	12	38
1	34	1	87
1	34	4	87
1	34	14	87
1	35	8	43
1	35	9	43
1	35	8	53
1	36	7	75
1	37	9	20
1	37	11	29
1	38	14	24
1	38	7	25
1	38	14	25
