year	individual	day	trap
1	1	6	1
1	1	3	4
1	2	7	6
1	2	27	6
1	2	46	6
1	3	52	7
1	3	75	9
1	11	68	10
1	12	68	10
1	11	15	12
1	12	15	12
1	11	40	12
1	12	40	12
1	1	57	12
1	4	15	13
1	4	30	13
1	11	35	13
1	12	35	13
1	1	45	13
1	3	51	13
1	1	72	13
1	1	22	14
1	1	37	14
1	1	23	16
1	12	60	16
1	11	26	18
1	12	26	18
1	1	33	18
1	12	69	19
1	11	70	19
1	11	72	19
1	19	7	22
1	11	25	22
1	12	25	22
1	1	29	22
1	1	71	22
1	5	68	23
1	5	22	24
1	5	42	24
1	13	56	24
1	13	74	24
1	14	74	24
1	15	74	24
1	5	23	25
1	5	35	26
1	5	47	26
1	5	55	26
1	6	67	26
1	5	70	26
1	1	81	26
1	7	73	28
1	7	36	30
1	7	83	30
1	1	75	31
1	1	11	32
1	1	39	32
1	1	59	32
1	1	75	32
1	7	85	32
1	8	39	33
1	9	54	33
1	16	54	33
1	17	54	33
1	18	54	33
1	1	61	33
1	1	39	35
1	1	60	35
1	4	30	37
1	1	34	37
1	10	85	37
