ID	X	Y
1	427435	4170605
2	424254	4172691
3	431541	4178952
4	435207	4177925
5	437841	4174595
6	439218	4171834
7	433048	4183489
8	430745	4185351
9	423682	4190229
10	429144	4176782
11	427897	4179310
12	429352	4175072
13	426929	4186878
14	427742	4183359
15	426763	4175192
16	432419	4173353
17	423977	4175258
18	421353	4175479
19	422408	4178618
20	425849	4179445
21	424254	4180684
22	422122	4182427
23	419611	4172581
24	415160	4172777
25	414246	4177038
26	419339	4176238
27	418526	4178239
28	443206	4160967
29	445234	4162849
30	442602	4164995
31	436097	4171432
32	439154	4166944
33	432431	4168144
34	434788	4167119
35	436133	4166160
36	437030	4163638
37	421520	4187650
